"Coefficient" "Estimate" "Std. Error" "T.Value" "P.Value" "2.5 %" "97.5 %"
"1" "(Intercept)" 9.08027 0.65153117 13.93682 "0.00000000" 7.80279 10.35776
"2" "Mortality Rate" -0.0031 0.00061054 -5.07407 "0.00000041" -0.0043 -0.0019
"3" "HPI 2015" -0.35359 0.02295981 -15.40042 "0.00000000" -0.39861 -0.30857
"4" "HPI 2016" -0.02682 0.04527531 -0.59248 "0.55357000" -0.1156 0.06195
"5" "HPI 2017" 0.20687 0.04307088 4.80295 "0.00000164" 0.12242 0.29132
"6" "HPI 2018" -0.13237 0.04120665 -3.21236 "0.00133018" -0.21317 -0.05157
"7" "HPI 2019" -0.59148 0.0437516 -13.5191 "0.00000000" -0.67727 -0.5057
"8" "HPI 2020" 1.86692 0.03248278 57.47427 "0.00000000" 1.80323 1.93061
"9" "Alaska" 0.87602 0.72528291 1.20783 "0.22720542" -0.54607 2.29811
"10" "Arizona" 9.70355 0.86364972 11.23551 "0.00000000" 8.01015 11.39694
"11" "Arkansas" 2.48756 0.49150958 5.06106 "0.00000044" 1.52384 3.45128
"12" "California" 6.89466 0.6093635 11.31452 "0.00000000" 5.69985 8.08946
"13" "Colorado" 2.87857 0.55022376 5.23163 "0.00000018" 1.79972 3.95741
"14" "Delaware" 5.75894 1.71155995 3.36473 "0.00077563" 2.40302 9.11487
"15" "District of Columbia" 0.44122 3.00035816 0.14705 "0.88309895" -5.44171 6.32414
"16" "Florida" 4.68318 0.57342355 8.16706 "0.00000000" 3.55885 5.80752
"17" "Georgia" 0.42052 0.42792872 0.98268 "0.32584226" -0.41854 1.25957
"18" "Hawaii" 5.58311 1.42975048 3.90495 "0.00009628" 2.77974 8.38648
"19" "Idaho" 10.65327 0.72555255 14.68297 "0.00000000" 9.23065 12.07589
"20" "Illinois" 0.17282 0.46569424 0.3711 "0.71058516" -0.74028 1.08593
"21" "Indiana" 0.67766 0.47088312 1.43912 "0.15021823" -0.24562 1.60094
"22" "Iowa" -0.68887 0.47298045 -1.45645 "0.14537018" -1.61627 0.23852
"23" "Kansas" -0.0822 0.46113581 -0.17825 "0.85854226" -0.98636 0.82197
"24" "Kentucky" 0.40446 0.44930458 0.90018 "0.36809361" -0.47651 1.28543
"25" "Louisiana" -0.76242 0.53279079 -1.431 "0.15253188" -1.80709 0.28224
"26" "Maine" 0.14863 0.81180531 0.18309 "0.85473815" -1.4431 1.74037
"27" "Maryland" 4.10228 0.70124809 5.84996 "0.00000001" 2.72731 5.47724
"28" "Massachusetts" 2.26367 0.8603208 2.6312 "0.00855122" 0.57681 3.95054
"29" "Michigan" 0.69564 0.48745899 1.42707 "0.15366069" -0.26014 1.65142
"30" "Minnesota" 1.33058 0.48665852 2.7341 "0.00629108" 0.37636 2.28479
"31" "Mississippi" -0.22151 0.48578185 -0.45599 "0.64842859" -1.174 0.73098
"32" "Missouri" 2.29708 0.45038865 5.10021 "0.00000036" 1.41398 3.18017
"33" "Montana" 9.33223 0.60644729 15.38836 "0.00000000" 8.14314 10.52131
"34" "Nebraska" 0.49024 0.48421424 1.01245 "0.31140438" -0.45918 1.43966
"35" "Nevada" 7.79373 0.84458023 9.22794 "0.00000000" 6.13773 9.44974
"36" "New Hampshire" 1.98369 0.99279108 1.99809 "0.04579509" 0.03708 3.93029
"37" "New Jersey" 3.80694 0.76122578 5.00107 "0.00000060" 2.31437 5.29951
"38" "New Mexico" -0.03753 0.62536138 -0.06001 "0.95215054" -1.2637 1.18864
"39" "New York" 2.84983 0.53983074 5.27911 "0.00000014" 1.79136 3.9083
"40" "North Carolina" 3.08102 0.46300173 6.65445 "0.00000000" 2.1732 3.98885
"41" "North Dakota" 2.18345 0.67182767 3.25001 "0.00116651" 0.86617 3.50073
"42" "Ohio" -0.9085 0.47622085 -1.90773 "0.05651970" -1.84225 0.02524
"43" "Oklahoma" 2.55833 0.49727336 5.14471 "0.00000028" 1.5833 3.53335
"44" "Oregon" 5.4966 0.67296469 8.16774 "0.00000000" 4.17709 6.81611
"45" "Pennsylvania" 1.1622 0.50615761 2.29612 "0.02173633" 0.16976 2.15464
"46" "Rhode Island" 2.69825 1.34747054 2.00246 "0.04532383" 0.05621 5.34029
"47" "South Carolina" 1.5232 0.56008535 2.71959 "0.00657320" 0.42502 2.62139
"48" "South Dakota" 2.32386 0.54247877 4.28379 "0.00001894" 1.2602 3.38752
"49" "Tennessee" 4.61973 0.48151994 9.59405 "0.00000000" 3.67559 5.56386
"50" "Texas" 2.58799 0.44237237 5.85026 "0.00000001" 1.72062 3.45537
"51" "Utah" 10.62956 0.69788038 15.23121 "0.00000000" 9.2612 11.99792
"52" "Vermont" 0.94603 0.86579259 1.09268 "0.27462088" -0.75156 2.64363
"53" "Virginia" 2.44825 0.45048923 5.43464 "0.00000006" 1.56496 3.33154
"54" "Washington" 4.22278 0.67949588 6.21458 "0.00000000" 2.89047 5.5551
"55" "West Virginia" 0.55756 0.54668301 1.0199 "0.30785529" -0.51434 1.62947
"56" "Wisconsin" 0.32255 0.50090106 0.64393 "0.51966771" -0.65959 1.30468
"57" "Wyoming" 4.29918 0.74693354 5.75577 "0.00000001" 2.83464 5.76372
